id;id_order;fecha_bloqueo;motivo;xmlerp
1;1;"2022-03-25 14:24:42";"Existe nota en el pedido";
2;2;"2022-03-25 14:26:32";"Fallo comunicación ERP";"
<response>1894917</response>"
3;3;"2022-03-25 14:31:48";"Fallo comunicación ERP";"<?xml version=""1.0"" encoding=""utf-8""?>
<response>1894918</response>"
4;4;"2022-03-25 14:38:06";"Fallo comunicación ERP";"ERROR 20402: El cliente encontrado con mismo cif pero sin certeza de que sea el mismo cliente. (cliente_cif = 00000000A)"
5;51;"2022-03-29 12:35:10";"Al menos una referencia no existe en el ERP";
6;53;"2022-03-29 12:35:46";"Al menos una referencia no existe en el ERP";
7;54;"2022-03-29 12:35:50";"Al menos una referencia no existe en el ERP";
8;55;"2022-03-29 12:35:50";"Existe lote o licencia (producto bundle)";
9;62;"2022-03-29 12:37:54";"Existe lote o licencia (producto bundle)";
10;63;"2022-03-29 12:38:12";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
11;65;"2022-03-29 12:38:19";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = anacup@a-alvarez.com)"
12;66;"2022-03-29 12:38:25";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
13;67;"2022-03-29 12:38:26";"Existe nota en el pedido";
14;68;"2022-03-29 12:38:34";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = anacup@a-alvarez.com)"
15;69;"2022-03-29 12:38:40";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
16;71;"2022-03-29 12:38:42";"Al menos una referencia no existe en el ERP";
17;72;"2022-03-29 12:38:42";"Al menos una referencia no existe en el ERP";
18;73;"2022-03-29 12:38:49";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
